href;temp_pub;name;annee;boite_vettesse;moteur;prix
https://www.avito.ma/fr/safir/voitures_d'occasion/Peugeot_3008_diesel_automatic_55809609.htm;il y a 7 minutes;Peugeot 3008 diesel automatic;2018;Automatique;Diesel;Prix non spécifié
https://www.avito.ma/fr/maarif/voitures_d'occasion/Mercedes_class_cla_220__55776887.htm;il y a 9 minutes;Mercedes class cla 220 ;2024;Automatique;Diesel;Prix non spécifié
https://www.avito.ma/fr/route_ain_chkaf/voitures_d'occasion/BMW_X4_Diesel_Automatique_2019_à_Fès_55824999.htm;il y a 9 minutes;BMW X4 Diesel Automatique 2019 à Fès;2019;Automatique;Diesel;Prix non spécifié
https://www.avito.ma/fr/aïn_chock/voitures_d'occasion/BMW_X3_X_line_Diesel__55737867.htm;il y a 7 minutes;BMW X3 X line Diesel ;2019;Automatique;Diesel;Prix non spécifié
https://www.avito.ma/fr/anfa/voitures_d'occasion/kia_picanto_55822311.htm;il y a 11 minutes;kia picanto;2022;Manuelle;Essence;
https://www.avito.ma/fr/founty/voitures_d'occasion/Fiat_500_édition_Dolcevita_2023_55831921.htm;il y a 6 minutes;Fiat 500 édition Dolcevita 2023;2023;Automatique;Essence;Prix non spécifié
https://www.avito.ma/fr/autre_secteur/voitures_d'occasion/Mercedes_Benz_220_automatique_dedouanee_2014_55773339.htm;il y a 8 minutes;Mercedes-Benz 220 automatique dedouanee 2014;2008;Automatique;Diesel;
https://www.avito.ma/fr/hay_mohammadi/voitures_d'occasion/Renault_Expres_essence_55732695.htm;il y a 9 minutes;Renault Expres essence;1998;Manuelle;Essence;Prix non spécifié
https://www.avito.ma/fr/autre_secteur/voitures_d'occasion/Peugeot_208_manuelle_tout_options__55551872.htm;il y a 10 minutes;Peugeot 208 manuelle tout options ;2018;Manuelle;Diesel;
https://www.avito.ma/fr/agdal/voitures_d'occasion/Seat_Ateca_Diesel_Automatique_2020_à_Fès_55798642.htm;il y a 9 minutes;Seat Ateca Diesel Automatique 2020 à Fès;2020;Automatique;Diesel;Prix non spécifié
https://www.avito.ma/fr/beni_makada_lakdima/voitures_d'occasion/داصيا_دوستر_ديزل_أوتوماتيك_2018_في_طنجة_55813290.htm;il y a 10 minutes;داصيا دوستر ديزل أوتوماتيك 2018 في طنجة;2018;Automatique;Diesel;
https://www.avito.ma/fr/hay_al_hassani/voitures_d'occasion/Fiat_doblo_1er_main__55613004.htm;il y a 11 minutes;Fiat doblo 1er main ;2020;Manuelle;Diesel;Prix non spécifié
https://www.avito.ma/fr/hay_al_hassani/voitures_d'occasion/Audi_Q3_Sportback_Diesel_Automatique_2021_55611497.htm;il y a 11 minutes;Audi Q3 Sportback Diesel Automatique 2021;2021;Automatique;Diesel;Prix non spécifié
